created_date,borough,count
2019-12-30/2020-01-05,BRONX,28
2019-12-30/2020-01-05,BROOKLYN,54
2019-12-30/2020-01-05,MANHATTAN,42
2019-12-30/2020-01-05,QUEENS,13
2019-12-30/2020-01-05,STATEN ISLAND,3
2020-01-06/2020-01-12,BRONX,45
2020-01-06/2020-01-12,BROOKLYN,91
2020-01-06/2020-01-12,MANHATTAN,59
2020-01-06/2020-01-12,QUEENS,32
2020-01-06/2020-01-12,STATEN ISLAND,9
2020-01-13/2020-01-19,BRONX,41
2020-01-13/2020-01-19,BROOKLYN,91
2020-01-13/2020-01-19,MANHATTAN,69
2020-01-13/2020-01-19,QUEENS,34
2020-01-13/2020-01-19,STATEN ISLAND,9
2020-01-20/2020-01-26,BRONX,40
2020-01-20/2020-01-26,BROOKLYN,90
2020-01-20/2020-01-26,MANHATTAN,80
2020-01-20/2020-01-26,QUEENS,35
2020-01-20/2020-01-26,STATEN ISLAND,4
2020-01-27/2020-02-02,BRONX,34
2020-01-27/2020-02-02,BROOKLYN,102
2020-01-27/2020-02-02,MANHATTAN,62
2020-01-27/2020-02-02,QUEENS,43
2020-01-27/2020-02-02,STATEN ISLAND,8
2020-02-03/2020-02-09,BRONX,37
2020-02-03/2020-02-09,BROOKLYN,103
2020-02-03/2020-02-09,MANHATTAN,72
2020-02-03/2020-02-09,QUEENS,30
2020-02-03/2020-02-09,STATEN ISLAND,6
2020-02-10/2020-02-16,BRONX,25
2020-02-10/2020-02-16,BROOKLYN,80
2020-02-10/2020-02-16,MANHATTAN,84
2020-02-10/2020-02-16,QUEENS,32
2020-02-10/2020-02-16,STATEN ISLAND,12
2020-02-17/2020-02-23,BRONX,29
2020-02-17/2020-02-23,BROOKLYN,98
2020-02-17/2020-02-23,MANHATTAN,73
2020-02-17/2020-02-23,QUEENS,41
2020-02-17/2020-02-23,STATEN ISLAND,10
2020-02-24/2020-03-01,BRONX,40
2020-02-24/2020-03-01,BROOKLYN,118
2020-02-24/2020-03-01,MANHATTAN,67
2020-02-24/2020-03-01,QUEENS,33
2020-02-24/2020-03-01,STATEN ISLAND,12
2020-03-02/2020-03-08,BRONX,40
2020-03-02/2020-03-08,BROOKLYN,102
2020-03-02/2020-03-08,MANHATTAN,81
2020-03-02/2020-03-08,QUEENS,47
2020-03-02/2020-03-08,STATEN ISLAND,4
2020-03-09/2020-03-15,BRONX,42
2020-03-09/2020-03-15,BROOKLYN,93
2020-03-09/2020-03-15,MANHATTAN,71
2020-03-09/2020-03-15,QUEENS,36
2020-03-09/2020-03-15,STATEN ISLAND,16
2020-03-16/2020-03-22,BRONX,28
2020-03-16/2020-03-22,BROOKLYN,63
2020-03-16/2020-03-22,MANHATTAN,62
2020-03-16/2020-03-22,QUEENS,28
2020-03-16/2020-03-22,STATEN ISLAND,6
2020-03-23/2020-03-29,BRONX,26
2020-03-23/2020-03-29,BROOKLYN,61
2020-03-23/2020-03-29,MANHATTAN,37
2020-03-23/2020-03-29,QUEENS,35
2020-03-23/2020-03-29,STATEN ISLAND,5
2020-03-30/2020-04-05,BRONX,32
2020-03-30/2020-04-05,BROOKLYN,62
2020-03-30/2020-04-05,MANHATTAN,55
2020-03-30/2020-04-05,QUEENS,26
2020-03-30/2020-04-05,STATEN ISLAND,4
2020-04-06/2020-04-12,BRONX,21
2020-04-06/2020-04-12,BROOKLYN,84
2020-04-06/2020-04-12,MANHATTAN,52
2020-04-06/2020-04-12,QUEENS,27
2020-04-06/2020-04-12,STATEN ISLAND,5
2020-04-13/2020-04-19,BRONX,33
2020-04-13/2020-04-19,BROOKLYN,77
2020-04-13/2020-04-19,MANHATTAN,72
2020-04-13/2020-04-19,QUEENS,32
2020-04-13/2020-04-19,STATEN ISLAND,6
2020-04-20/2020-04-26,BRONX,39
2020-04-20/2020-04-26,BROOKLYN,97
2020-04-20/2020-04-26,MANHATTAN,81
2020-04-20/2020-04-26,QUEENS,42
2020-04-20/2020-04-26,STATEN ISLAND,6
2020-04-27/2020-05-03,BRONX,39
2020-04-27/2020-05-03,BROOKLYN,114
2020-04-27/2020-05-03,MANHATTAN,82
2020-04-27/2020-05-03,QUEENS,44
2020-04-27/2020-05-03,STATEN ISLAND,8
2020-05-04/2020-05-10,BRONX,52
2020-05-04/2020-05-10,BROOKLYN,109
2020-05-04/2020-05-10,MANHATTAN,78
2020-05-04/2020-05-10,QUEENS,37
2020-05-04/2020-05-10,STATEN ISLAND,8
2020-05-11/2020-05-17,BRONX,57
2020-05-11/2020-05-17,BROOKLYN,131
2020-05-11/2020-05-17,MANHATTAN,85
2020-05-11/2020-05-17,QUEENS,72
2020-05-11/2020-05-17,STATEN ISLAND,21
2020-05-18/2020-05-24,BRONX,61
2020-05-18/2020-05-24,BROOKLYN,195
2020-05-18/2020-05-24,MANHATTAN,95
2020-05-18/2020-05-24,QUEENS,75
2020-05-18/2020-05-24,STATEN ISLAND,16
2020-05-25/2020-05-31,BRONX,79
2020-05-25/2020-05-31,BROOKLYN,159
2020-05-25/2020-05-31,MANHATTAN,118
2020-05-25/2020-05-31,QUEENS,69
2020-05-25/2020-05-31,STATEN ISLAND,21
2020-06-01/2020-06-07,BRONX,50
2020-06-01/2020-06-07,BROOKLYN,138
2020-06-01/2020-06-07,MANHATTAN,74
2020-06-01/2020-06-07,QUEENS,63
2020-06-01/2020-06-07,STATEN ISLAND,22
2020-06-08/2020-06-14,BRONX,66
2020-06-08/2020-06-14,BROOKLYN,151
2020-06-08/2020-06-14,MANHATTAN,66
2020-06-08/2020-06-14,QUEENS,67
2020-06-08/2020-06-14,STATEN ISLAND,18
2020-06-15/2020-06-21,BRONX,63
2020-06-15/2020-06-21,BROOKLYN,178
2020-06-15/2020-06-21,MANHATTAN,101
2020-06-15/2020-06-21,QUEENS,76
2020-06-15/2020-06-21,STATEN ISLAND,18
2020-06-22/2020-06-28,BRONX,61
2020-06-22/2020-06-28,BROOKLYN,131
2020-06-22/2020-06-28,MANHATTAN,85
2020-06-22/2020-06-28,QUEENS,72
2020-06-22/2020-06-28,STATEN ISLAND,18
2020-06-29/2020-07-05,BRONX,52
2020-06-29/2020-07-05,BROOKLYN,147
2020-06-29/2020-07-05,MANHATTAN,89
2020-06-29/2020-07-05,QUEENS,93
2020-06-29/2020-07-05,STATEN ISLAND,11
2020-07-06/2020-07-12,BRONX,54
2020-07-06/2020-07-12,BROOKLYN,198
2020-07-06/2020-07-12,MANHATTAN,87
2020-07-06/2020-07-12,QUEENS,74
2020-07-06/2020-07-12,STATEN ISLAND,23
2020-07-13/2020-07-19,BRONX,68
2020-07-13/2020-07-19,BROOKLYN,169
2020-07-13/2020-07-19,MANHATTAN,113
2020-07-13/2020-07-19,QUEENS,79
2020-07-13/2020-07-19,STATEN ISLAND,15
2020-07-20/2020-07-26,BRONX,52
2020-07-20/2020-07-26,BROOKLYN,133
2020-07-20/2020-07-26,MANHATTAN,88
2020-07-20/2020-07-26,QUEENS,59
2020-07-20/2020-07-26,STATEN ISLAND,12
2020-07-27/2020-08-02,BRONX,66
2020-07-27/2020-08-02,BROOKLYN,146
2020-07-27/2020-08-02,MANHATTAN,84
2020-07-27/2020-08-02,QUEENS,81
2020-07-27/2020-08-02,STATEN ISLAND,22
2020-08-03/2020-08-09,BRONX,55
2020-08-03/2020-08-09,BROOKLYN,140
2020-08-03/2020-08-09,MANHATTAN,113
2020-08-03/2020-08-09,QUEENS,62
2020-08-03/2020-08-09,STATEN ISLAND,27
2020-08-10/2020-08-16,BRONX,70
2020-08-10/2020-08-16,BROOKLYN,124
2020-08-10/2020-08-16,MANHATTAN,99
2020-08-10/2020-08-16,QUEENS,64
2020-08-10/2020-08-16,STATEN ISLAND,24
2020-08-17/2020-08-23,BRONX,86
2020-08-17/2020-08-23,BROOKLYN,181
2020-08-17/2020-08-23,MANHATTAN,108
2020-08-17/2020-08-23,QUEENS,92
2020-08-17/2020-08-23,STATEN ISLAND,18
2020-08-24/2020-08-30,BRONX,64
2020-08-24/2020-08-30,BROOKLYN,140
2020-08-24/2020-08-30,MANHATTAN,122
2020-08-24/2020-08-30,QUEENS,79
2020-08-24/2020-08-30,STATEN ISLAND,18
2020-08-31/2020-09-06,BRONX,62
2020-08-31/2020-09-06,BROOKLYN,146
2020-08-31/2020-09-06,MANHATTAN,103
2020-08-31/2020-09-06,QUEENS,61
2020-08-31/2020-09-06,STATEN ISLAND,14
2020-09-07/2020-09-13,BRONX,67
2020-09-07/2020-09-13,BROOKLYN,131
2020-09-07/2020-09-13,MANHATTAN,102
2020-09-07/2020-09-13,QUEENS,63
2020-09-07/2020-09-13,STATEN ISLAND,11
2020-09-14/2020-09-20,BRONX,59
2020-09-14/2020-09-20,BROOKLYN,146
2020-09-14/2020-09-20,MANHATTAN,104
2020-09-14/2020-09-20,QUEENS,63
2020-09-14/2020-09-20,STATEN ISLAND,18
2020-09-21/2020-09-27,BRONX,72
2020-09-21/2020-09-27,BROOKLYN,144
2020-09-21/2020-09-27,MANHATTAN,96
2020-09-21/2020-09-27,QUEENS,62
2020-09-21/2020-09-27,STATEN ISLAND,14
2020-09-28/2020-10-04,BRONX,74
2020-09-28/2020-10-04,BROOKLYN,142
2020-09-28/2020-10-04,MANHATTAN,92
2020-09-28/2020-10-04,QUEENS,64
2020-09-28/2020-10-04,STATEN ISLAND,14
2020-10-05/2020-10-11,BRONX,66
2020-10-05/2020-10-11,BROOKLYN,129
2020-10-05/2020-10-11,MANHATTAN,83
2020-10-05/2020-10-11,QUEENS,56
2020-10-05/2020-10-11,STATEN ISLAND,11
2020-10-12/2020-10-18,BRONX,73
2020-10-12/2020-10-18,BROOKLYN,101
2020-10-12/2020-10-18,MANHATTAN,69
2020-10-12/2020-10-18,QUEENS,58
2020-10-12/2020-10-18,STATEN ISLAND,5
2020-10-19/2020-10-25,BRONX,94
2020-10-19/2020-10-25,BROOKLYN,138
2020-10-19/2020-10-25,MANHATTAN,89
2020-10-19/2020-10-25,QUEENS,82
2020-10-19/2020-10-25,STATEN ISLAND,10
2020-10-26/2020-11-01,BRONX,70
2020-10-26/2020-11-01,BROOKLYN,103
2020-10-26/2020-11-01,MANHATTAN,96
2020-10-26/2020-11-01,QUEENS,44
2020-10-26/2020-11-01,STATEN ISLAND,11
2020-11-02/2020-11-08,BRONX,55
2020-11-02/2020-11-08,BROOKLYN,94
2020-11-02/2020-11-08,MANHATTAN,64
2020-11-02/2020-11-08,QUEENS,40
2020-11-02/2020-11-08,STATEN ISLAND,6
2020-11-09/2020-11-15,BRONX,47
2020-11-09/2020-11-15,BROOKLYN,78
2020-11-09/2020-11-15,MANHATTAN,95
2020-11-09/2020-11-15,QUEENS,54
2020-11-09/2020-11-15,STATEN ISLAND,7
2020-11-16/2020-11-22,BRONX,65
2020-11-16/2020-11-22,BROOKLYN,82
2020-11-16/2020-11-22,MANHATTAN,59
2020-11-16/2020-11-22,QUEENS,46
2020-11-16/2020-11-22,STATEN ISLAND,7
2020-11-23/2020-11-29,BRONX,44
2020-11-23/2020-11-29,BROOKLYN,83
2020-11-23/2020-11-29,MANHATTAN,72
2020-11-23/2020-11-29,QUEENS,44
2020-11-23/2020-11-29,STATEN ISLAND,6
2020-11-30/2020-12-06,BRONX,56
2020-11-30/2020-12-06,BROOKLYN,67
2020-11-30/2020-12-06,MANHATTAN,59
2020-11-30/2020-12-06,QUEENS,37
2020-11-30/2020-12-06,STATEN ISLAND,7
2020-12-07/2020-12-13,BRONX,59
2020-12-07/2020-12-13,BROOKLYN,81
2020-12-07/2020-12-13,MANHATTAN,65
2020-12-07/2020-12-13,QUEENS,37
2020-12-07/2020-12-13,STATEN ISLAND,6
2020-12-14/2020-12-20,BRONX,67
2020-12-14/2020-12-20,BROOKLYN,66
2020-12-14/2020-12-20,MANHATTAN,36
2020-12-14/2020-12-20,QUEENS,26
2020-12-14/2020-12-20,STATEN ISLAND,16
2020-12-21/2020-12-27,BRONX,30
2020-12-21/2020-12-27,BROOKLYN,61
2020-12-21/2020-12-27,MANHATTAN,51
2020-12-21/2020-12-27,QUEENS,30
2020-12-21/2020-12-27,STATEN ISLAND,2
2020-12-28/2021-01-03,BRONX,42
2020-12-28/2021-01-03,BROOKLYN,76
2020-12-28/2021-01-03,MANHATTAN,65
2020-12-28/2021-01-03,QUEENS,28
2020-12-28/2021-01-03,STATEN ISLAND,7
2021-01-04/2021-01-10,BRONX,44
2021-01-04/2021-01-10,BROOKLYN,107
2021-01-04/2021-01-10,MANHATTAN,104
2021-01-04/2021-01-10,QUEENS,44
2021-01-04/2021-01-10,STATEN ISLAND,10
2021-01-11/2021-01-17,BRONX,72
2021-01-11/2021-01-17,BROOKLYN,101
2021-01-11/2021-01-17,MANHATTAN,115
2021-01-11/2021-01-17,QUEENS,36
2021-01-11/2021-01-17,STATEN ISLAND,6
2021-01-18/2021-01-24,BRONX,40
2021-01-18/2021-01-24,BROOKLYN,87
2021-01-18/2021-01-24,MANHATTAN,107
2021-01-18/2021-01-24,QUEENS,36
2021-01-18/2021-01-24,STATEN ISLAND,6
2021-01-25/2021-01-31,BRONX,53
2021-01-25/2021-01-31,BROOKLYN,94
2021-01-25/2021-01-31,MANHATTAN,71
2021-01-25/2021-01-31,QUEENS,34
2021-01-25/2021-01-31,STATEN ISLAND,8
2021-02-01/2021-02-07,BRONX,39
2021-02-01/2021-02-07,BROOKLYN,59
2021-02-01/2021-02-07,MANHATTAN,45
2021-02-01/2021-02-07,QUEENS,23
2021-02-01/2021-02-07,STATEN ISLAND,3
2021-02-08/2021-02-14,BRONX,42
2021-02-08/2021-02-14,BROOKLYN,76
2021-02-08/2021-02-14,MANHATTAN,61
2021-02-08/2021-02-14,QUEENS,26
2021-02-08/2021-02-14,STATEN ISLAND,5
2021-02-15/2021-02-21,BRONX,39
2021-02-15/2021-02-21,BROOKLYN,60
2021-02-15/2021-02-21,MANHATTAN,74
2021-02-15/2021-02-21,QUEENS,34
2021-02-15/2021-02-21,STATEN ISLAND,9
2021-02-22/2021-02-28,BRONX,78
2021-02-22/2021-02-28,BROOKLYN,125
2021-02-22/2021-02-28,MANHATTAN,99
2021-02-22/2021-02-28,QUEENS,52
2021-02-22/2021-02-28,STATEN ISLAND,13
2021-03-01/2021-03-07,BRONX,73
2021-03-01/2021-03-07,BROOKLYN,123
2021-03-01/2021-03-07,MANHATTAN,95
2021-03-01/2021-03-07,QUEENS,53
2021-03-01/2021-03-07,STATEN ISLAND,8
2021-03-08/2021-03-14,BRONX,64
2021-03-08/2021-03-14,BROOKLYN,135
2021-03-08/2021-03-14,MANHATTAN,123
2021-03-08/2021-03-14,QUEENS,76
2021-03-08/2021-03-14,STATEN ISLAND,7
2021-03-15/2021-03-21,BRONX,60
2021-03-15/2021-03-21,BROOKLYN,131
2021-03-15/2021-03-21,MANHATTAN,112
2021-03-15/2021-03-21,QUEENS,55
2021-03-15/2021-03-21,STATEN ISLAND,16
2021-03-22/2021-03-28,BRONX,82
2021-03-22/2021-03-28,BROOKLYN,186
2021-03-22/2021-03-28,MANHATTAN,114
2021-03-22/2021-03-28,QUEENS,90
2021-03-22/2021-03-28,STATEN ISLAND,20
2021-03-29/2021-04-04,BRONX,77
2021-03-29/2021-04-04,BROOKLYN,203
2021-03-29/2021-04-04,MANHATTAN,108
2021-03-29/2021-04-04,QUEENS,58
2021-03-29/2021-04-04,STATEN ISLAND,15
2021-04-05/2021-04-11,BRONX,81
2021-04-05/2021-04-11,BROOKLYN,219
2021-04-05/2021-04-11,MANHATTAN,132
2021-04-05/2021-04-11,QUEENS,66
2021-04-05/2021-04-11,STATEN ISLAND,10
2021-04-12/2021-04-18,BRONX,98
2021-04-12/2021-04-18,BROOKLYN,199
2021-04-12/2021-04-18,MANHATTAN,125
2021-04-12/2021-04-18,QUEENS,67
2021-04-12/2021-04-18,STATEN ISLAND,12
2021-04-19/2021-04-25,BRONX,93
2021-04-19/2021-04-25,BROOKLYN,173
2021-04-19/2021-04-25,MANHATTAN,125
2021-04-19/2021-04-25,QUEENS,68
2021-04-19/2021-04-25,STATEN ISLAND,20
2021-04-26/2021-05-02,BRONX,101
2021-04-26/2021-05-02,BROOKLYN,173
2021-04-26/2021-05-02,MANHATTAN,90
2021-04-26/2021-05-02,QUEENS,79
2021-04-26/2021-05-02,STATEN ISLAND,9
2021-05-03/2021-05-09,BRONX,87
2021-05-03/2021-05-09,BROOKLYN,227
2021-05-03/2021-05-09,MANHATTAN,141
2021-05-03/2021-05-09,QUEENS,63
2021-05-03/2021-05-09,STATEN ISLAND,14
2021-05-10/2021-05-16,BRONX,111
2021-05-10/2021-05-16,BROOKLYN,235
2021-05-10/2021-05-16,MANHATTAN,132
2021-05-10/2021-05-16,QUEENS,74
2021-05-10/2021-05-16,STATEN ISLAND,9
2021-05-17/2021-05-23,BRONX,86
2021-05-17/2021-05-23,BROOKLYN,201
2021-05-17/2021-05-23,MANHATTAN,142
2021-05-17/2021-05-23,QUEENS,85
2021-05-17/2021-05-23,STATEN ISLAND,21
2021-05-24/2021-05-30,BRONX,106
2021-05-24/2021-05-30,BROOKLYN,188
2021-05-24/2021-05-30,MANHATTAN,151
2021-05-24/2021-05-30,QUEENS,65
2021-05-24/2021-05-30,STATEN ISLAND,12
2021-05-31/2021-06-06,BRONX,122
2021-05-31/2021-06-06,BROOKLYN,258
2021-05-31/2021-06-06,MANHATTAN,129
2021-05-31/2021-06-06,QUEENS,92
2021-05-31/2021-06-06,STATEN ISLAND,18
2021-06-07/2021-06-13,BRONX,113
2021-06-07/2021-06-13,BROOKLYN,241
2021-06-07/2021-06-13,MANHATTAN,144
2021-06-07/2021-06-13,QUEENS,96
2021-06-07/2021-06-13,STATEN ISLAND,30
2021-06-14/2021-06-20,BRONX,89
2021-06-14/2021-06-20,BROOKLYN,236
2021-06-14/2021-06-20,MANHATTAN,176
2021-06-14/2021-06-20,QUEENS,71
2021-06-14/2021-06-20,STATEN ISLAND,17
2021-06-21/2021-06-27,BRONX,107
2021-06-21/2021-06-27,BROOKLYN,246
2021-06-21/2021-06-27,MANHATTAN,169
2021-06-21/2021-06-27,QUEENS,82
2021-06-21/2021-06-27,STATEN ISLAND,22
2021-06-28/2021-07-04,BRONX,85
2021-06-28/2021-07-04,BROOKLYN,191
2021-06-28/2021-07-04,MANHATTAN,124
2021-06-28/2021-07-04,QUEENS,80
2021-06-28/2021-07-04,STATEN ISLAND,15
2021-07-05/2021-07-11,BRONX,89
2021-07-05/2021-07-11,BROOKLYN,196
2021-07-05/2021-07-11,MANHATTAN,152
2021-07-05/2021-07-11,QUEENS,90
2021-07-05/2021-07-11,STATEN ISLAND,20
2021-07-12/2021-07-18,BRONX,105
2021-07-12/2021-07-18,BROOKLYN,225
2021-07-12/2021-07-18,MANHATTAN,169
2021-07-12/2021-07-18,QUEENS,96
2021-07-12/2021-07-18,STATEN ISLAND,24
2021-07-19/2021-07-25,BRONX,128
2021-07-19/2021-07-25,BROOKLYN,268
2021-07-19/2021-07-25,MANHATTAN,169
2021-07-19/2021-07-25,QUEENS,110
2021-07-19/2021-07-25,STATEN ISLAND,21
2021-07-26/2021-08-01,BRONX,111
2021-07-26/2021-08-01,BROOKLYN,254
2021-07-26/2021-08-01,MANHATTAN,189
2021-07-26/2021-08-01,QUEENS,92
2021-07-26/2021-08-01,STATEN ISLAND,14
2021-08-02/2021-08-08,BRONX,113
2021-08-02/2021-08-08,BROOKLYN,229
2021-08-02/2021-08-08,MANHATTAN,174
2021-08-02/2021-08-08,QUEENS,85
2021-08-02/2021-08-08,STATEN ISLAND,22
2021-08-09/2021-08-15,BRONX,105
2021-08-09/2021-08-15,BROOKLYN,205
2021-08-09/2021-08-15,MANHATTAN,153
2021-08-09/2021-08-15,QUEENS,83
2021-08-09/2021-08-15,STATEN ISLAND,14
2021-08-16/2021-08-22,BRONX,99
2021-08-16/2021-08-22,BROOKLYN,190
2021-08-16/2021-08-22,MANHATTAN,153
2021-08-16/2021-08-22,QUEENS,68
2021-08-16/2021-08-22,STATEN ISLAND,17
2021-08-23/2021-08-29,BRONX,95
2021-08-23/2021-08-29,BROOKLYN,224
2021-08-23/2021-08-29,MANHATTAN,135
2021-08-23/2021-08-29,QUEENS,63
2021-08-23/2021-08-29,STATEN ISLAND,19
2021-08-30/2021-09-05,BRONX,91
2021-08-30/2021-09-05,BROOKLYN,167
2021-08-30/2021-09-05,MANHATTAN,140
2021-08-30/2021-09-05,QUEENS,74
2021-08-30/2021-09-05,STATEN ISLAND,14
2021-09-06/2021-09-12,BRONX,108
2021-09-06/2021-09-12,BROOKLYN,198
2021-09-06/2021-09-12,MANHATTAN,174
2021-09-06/2021-09-12,QUEENS,50
2021-09-06/2021-09-12,STATEN ISLAND,20
2021-09-13/2021-09-19,BRONX,86
2021-09-13/2021-09-19,BROOKLYN,197
2021-09-13/2021-09-19,MANHATTAN,144
2021-09-13/2021-09-19,QUEENS,74
2021-09-13/2021-09-19,STATEN ISLAND,19
2021-09-20/2021-09-26,BRONX,112
2021-09-20/2021-09-26,BROOKLYN,229
2021-09-20/2021-09-26,MANHATTAN,173
2021-09-20/2021-09-26,QUEENS,65
2021-09-20/2021-09-26,STATEN ISLAND,17
2021-09-27/2021-10-03,BRONX,88
2021-09-27/2021-10-03,BROOKLYN,220
2021-09-27/2021-10-03,MANHATTAN,146
2021-09-27/2021-10-03,QUEENS,76
2021-09-27/2021-10-03,STATEN ISLAND,14
2021-10-04/2021-10-10,BRONX,99
2021-10-04/2021-10-10,BROOKLYN,249
2021-10-04/2021-10-10,MANHATTAN,190
2021-10-04/2021-10-10,QUEENS,84
2021-10-04/2021-10-10,STATEN ISLAND,21
2021-10-11/2021-10-17,BRONX,125
2021-10-11/2021-10-17,BROOKLYN,241
2021-10-11/2021-10-17,MANHATTAN,147
2021-10-11/2021-10-17,QUEENS,75
2021-10-11/2021-10-17,STATEN ISLAND,13
2021-10-18/2021-10-24,BRONX,104
2021-10-18/2021-10-24,BROOKLYN,261
2021-10-18/2021-10-24,MANHATTAN,194
2021-10-18/2021-10-24,QUEENS,101
2021-10-18/2021-10-24,STATEN ISLAND,9
2021-10-25/2021-10-31,BRONX,91
2021-10-25/2021-10-31,BROOKLYN,240
2021-10-25/2021-10-31,MANHATTAN,157
2021-10-25/2021-10-31,QUEENS,69
2021-10-25/2021-10-31,STATEN ISLAND,24
2021-11-01/2021-11-07,BRONX,83
2021-11-01/2021-11-07,BROOKLYN,256
2021-11-01/2021-11-07,MANHATTAN,163
2021-11-01/2021-11-07,QUEENS,72
2021-11-01/2021-11-07,STATEN ISLAND,11
2021-11-08/2021-11-14,BRONX,85
2021-11-08/2021-11-14,BROOKLYN,209
2021-11-08/2021-11-14,MANHATTAN,183
2021-11-08/2021-11-14,QUEENS,73
2021-11-08/2021-11-14,STATEN ISLAND,8
2021-11-15/2021-11-21,BRONX,75
2021-11-15/2021-11-21,BROOKLYN,155
2021-11-15/2021-11-21,MANHATTAN,145
2021-11-15/2021-11-21,QUEENS,49
2021-11-15/2021-11-21,STATEN ISLAND,6
2021-11-22/2021-11-28,BRONX,61
2021-11-22/2021-11-28,BROOKLYN,88
2021-11-22/2021-11-28,MANHATTAN,103
2021-11-22/2021-11-28,QUEENS,30
2021-11-22/2021-11-28,STATEN ISLAND,5
2021-11-29/2021-12-05,BRONX,79
2021-11-29/2021-12-05,BROOKLYN,151
2021-11-29/2021-12-05,MANHATTAN,113
2021-11-29/2021-12-05,QUEENS,47
2021-11-29/2021-12-05,STATEN ISLAND,8
2021-12-06/2021-12-12,BRONX,69
2021-12-06/2021-12-12,BROOKLYN,132
2021-12-06/2021-12-12,MANHATTAN,134
2021-12-06/2021-12-12,QUEENS,48
2021-12-06/2021-12-12,STATEN ISLAND,3
2021-12-13/2021-12-19,BRONX,86
2021-12-13/2021-12-19,BROOKLYN,192
2021-12-13/2021-12-19,MANHATTAN,132
2021-12-13/2021-12-19,QUEENS,42
2021-12-13/2021-12-19,STATEN ISLAND,6
2021-12-20/2021-12-26,BRONX,65
2021-12-20/2021-12-26,BROOKLYN,115
2021-12-20/2021-12-26,MANHATTAN,93
2021-12-20/2021-12-26,QUEENS,36
2021-12-20/2021-12-26,STATEN ISLAND,1
2021-12-27/2022-01-02,BRONX,77
2021-12-27/2022-01-02,BROOKLYN,139
2021-12-27/2022-01-02,MANHATTAN,114
2021-12-27/2022-01-02,QUEENS,44
2021-12-27/2022-01-02,STATEN ISLAND,9
